Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,url
708,Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35k,https://www.coursera.org/
444,Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,https://www.coursera.org/
693,Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,https://www.coursera.org/
454,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,https://www.coursera.org/
446,Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,https://www.coursera.org/
347,Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,https://www.coursera.org/
314,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,https://www.coursera.org/
436,Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,https://www.coursera.org/
319,Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31k,https://www.coursera.org/
847,Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,https://www.coursera.org/
881,Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,https://www.coursera.org/
256,"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,https://www.coursera.org/
278,Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,https://www.coursera.org/
11,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,https://www.coursera.org/
591,Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,https://www.coursera.org/
92,Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,https://www.coursera.org/
218,Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,https://www.coursera.org/
419,Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,https://www.coursera.org/
38,Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,https://www.coursera.org/
124,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,https://www.coursera.org/
418,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,https://www.coursera.org/
137,Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,https://www.coursera.org/
880,Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,https://www.coursera.org/
99,Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,https://www.coursera.org/
509,Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,https://www.coursera.org/
442,FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,https://www.coursera.org/
531,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,https://www.coursera.org/
453,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,https://www.coursera.org/
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,https://www.coursera.org/
257,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,https://www.coursera.org/
778,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,https://www.coursera.org/
85,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,https://www.coursera.org/
396,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,https://www.coursera.org/
158,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k,https://www.coursera.org/
149,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,https://www.coursera.org/
14,Financial Markets,Yale University,COURSE,4.8,Beginner,470k,https://www.coursera.org/
259,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,https://www.coursera.org/
682,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,https://www.coursera.org/
356,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,https://www.coursera.org/
382,Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k,https://www.coursera.org/
366,Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,https://www.coursera.org/
552,Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k,https://www.coursera.org/
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,https://www.coursera.org/
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,https://www.coursera.org/
113,First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,https://www.coursera.org/
102,Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k,https://www.coursera.org/
174,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k,https://www.coursera.org/
851,Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,https://www.coursera.org/
337,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,https://www.coursera.org/
721,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,https://www.coursera.org/
775,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k,https://www.coursera.org/
313,Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,https://www.coursera.org/
209,Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,https://www.coursera.org/
569,Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,https://www.coursera.org/
32,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,https://www.coursera.org/
521,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,https://www.coursera.org/
203,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k,https://www.coursera.org/
698,From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k,https://www.coursera.org/
863,Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k,https://www.coursera.org/
501,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k,https://www.coursera.org/
108,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k,https://www.coursera.org/
89,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k,https://www.coursera.org/
790,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k,https://www.coursera.org/
150,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k,https://www.coursera.org/
441,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k,https://www.coursera.org/
295,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k,https://www.coursera.org/
164,Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k,https://www.coursera.org/
581,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49k,https://www.coursera.org/
425,Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k,https://www.coursera.org/
